symbol,company_name,sector
AAPL,Apple Inc.,Information Technology
ABBV,AbbVie Inc.,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
AIG,American International Group,Financials
AMGN,Amgen Inc.,Health Care
AMT,American Tower,Real Estate
AMZN,Amazon.com,Consumer Discretionary
AVGO,Broadcom Inc.,Information Technology
AXP,American Express,Financials
BA,Boeing Co.,Industrials
BAC,Bank of America,Financials
BIIB,Biogen,Health Care
BK,The Bank of New York Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BLK,BlackRock Inc.,Financials
BMY,Bristol-Myers Squibb,Health Care
BRK.B,Berkshire Hathaway,Financials
C,Citigroup Inc.,Financials
CAT,Caterpillar Inc.,Industrials
CHTR,Charter Communications,Communication Services
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Communication Services
COF,Capital One Financial Corp.,Financials
COP,ConocoPhillips,Energy
COST,Costco Wholesale Corp.,Consumer Staples
CRM,Salesforce,Information Technology
CSCO,Cisco Systems,Information Technology
CVS,CVS Health,Health Care
CVX,Chevron Corporation,Energy
DD,DuPont de Nemours Inc.,Materials
DHR,Danaher Corporation,Health Care
DIS,The Walt Disney Company,Communication Services
DOW,Dow Inc.,Materials
DUK,Duke Energy,Utilities
EMR,Emerson Electric Co.,Industrials
EXC,Exelon,Utilities
F,Ford Motor Company,Consumer Discretionary
FB,"Facebook, Inc.",Communication Services
FDX,FedEx,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GILD,Gilead Sciences,Health Care
GM,General Motors,Consumer Discretionary
GOOG,Alphabet Inc. (Class C),Communication Services
GOOGL,Alphabet Inc. (Class A),Communication Services
GS,Goldman Sachs,Financials
HD,The Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
IBM,International Business Machines,Information Technology
INTC,Intel Corp.,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase & Co.,Financials
KHC,Kraft Heinz,Consumer Staples
KO,The Coca-Cola Company,Consumer Staples
LIN,Linde plc,Industrials
LLY,Eli Lilly and Company,Health Care
LMT,Lockheed Martin,Industrials
LOW,Lowe's,Consumer Discretionary
MA,Mastercard,Financials
MCD,McDonald's,Consumer Discretionary
MDLZ,Mondelēz International,Consumer Staples
MDT,Medtronic plc,Health Care
MET,MetLife Inc.,Financials
MMM,3M Company,Industrials
MO,Altria Group,Consumer Staples
MRK,Merck & Co.,Health Care
MS,Morgan Stanley,Financials
MSFT,Microsoft,Information Technology
NEE,NextEra Energy,Utilities
NFLX,Netflix,Communication Services
NKE,"Nike, Inc.",Consumer Discretionary
NVDA,Nvidia Corporation,Information Technology
ORCL,Oracle Corporation,Information Technology
PEP,PepsiCo,Consumer Staples
PFE,Pfizer Inc.,Health Care
PG,Procter & Gamble,Consumer Staples
PM,Philip Morris International,Consumer Staples
PYPL,PayPal,Financials
QCOM,Qualcomm,Information Technology
RTX,Raytheon Technologies,Industrials
SBUX,Starbucks Corp.,Consumer Discretionary
SO,Southern Company,Utilities
SPG,Simon Property Group,Real Estate
T,AT&T Inc.,Communication Services
TGT,Target Corporation,Consumer Staples
TMO,Thermo Fisher Scientific,Health Care
TMUS,T-Mobile US,Communication Services
TSLA,"Tesla, Inc.",Consumer Discretionary
TXN,Texas Instruments,Information Technology
UNH,UnitedHealth Group,Health Care
UNP,Union Pacific Corporation,Industrials
UPS,United Parcel Service,Industrials
USB,U.S. Bancorp,Financials
V,Visa Inc.,Financials
VZ,Verizon Communications,Communication Services
WBA,Walgreens Boots Alliance,Consumer Staples
WFC,Wells Fargo,Financials
WMT,Walmart,Consumer Staples
XOM,Exxon Mobil Corp.,Energy
