link,time
/politics-laws/1009908/viet-nam-highlights-need-to-avoid-negative-impacts-of-counter-terrorism-measures-on-humanitarian-activities.html,"August, 12/2021 - 13:57"
/politics-laws/1008016/maritime-security-issue-needs-global-solution-prime-minister.html,"August, 10/2021 - 07:40"
/politics-laws/1007643/viet-nam-czech-republic-agree-to-cooperate-to-fight-covid-19.html,"August, 09/2021 - 22:11"
/politics-laws/1008250/president-phuc-meets-with-chairman-of-the-lao-national-assembly.html,"August, 10/2021 - 14:43"
/politics-laws/1009122/pm-calls-for-a-government-of-innovation-integrity-efficiency.html,"August, 12/2021 - 08:00"
/politics-laws/1008039/president-meets-with-pm-visits-former-leaders-of-laos.html,"August, 10/2021 - 08:14"
/politics-laws/1007442/deputy-minister-highlights-south-china-sea-covid-19-recovery-as-key-outcomes-of-afmm-54.html,"August, 10/2021 - 06:46"
/politics-laws/1007462/viet-nam-and-laos-agree-to-deepen-relationships-in-all-fields.html,"August, 09/2021 - 17:27"
/politics-laws/1007242/president-nguyen-xuan-phuc-arrives-in-vientiane.html,"August, 09/2021 - 11:56"
/politics-laws/1006699/54th-founding-anniversary-of-asean-gold-tested-in-fire.html,"August, 08/2021 - 18:24"
/politics-laws/1005625/28th-asean-regional-forum-spotlights-dialogue-responsibility-cooperation-goodwill.html,"August, 07/2021 - 10:29"
/politics-laws/1005074/viet-nam-suggests-pandemic-control-and-economic-recovery-for-mekong-japan-cooperation.html,"August, 06/2021 - 17:29"
/politics-laws/1004877/viet-nam-will-not-join-forces-with-one-country-in-opposition-of-another-foreign-spokesperson.html,"August, 06/2021 - 08:44"
/politics-laws/1004351/party-central-committee-officials-and-business-leaders-punished-for-wrongdoings-this-year.html,"August, 06/2021 - 08:08"
/politics-laws/1009835/economy-stable-pandemic-basically-controlled-pm.html,"August, 12/2021 - 11:48"
/politics-laws/1004376/vietnamese-foreign-minister-proposes-switzerland-continue-with-vaccine-assistance.html,"August, 05/2021 - 18:37"
/politics-laws/1006807/presidents-visit-affirms-special-attention-to-fostering-ties-with-laos.html,"August, 09/2021 - 06:18"
/politics-laws/1005181/asean-eu-consider-future-free-trade-agreement-during-talks.html,"August, 07/2021 - 06:39"
/politics-laws/994449/us-to-donate-another-3-million-moderna-vaccine-doses-to-viet-nam.html,"July, 17/2021 - 10:59"
/politics-laws/994763/president-urges-bolder-actions-to-cope-with-covid-19-pandemic.html,"July, 16/2021 - 23:37"
/politics-laws/994190/viet-nam-believes-cuba-will-rise-above-challenges-calls-on-us-to-lift-embargo.html,"July, 16/2021 - 17:49"
/politics-laws/994048/embassy-calls-on-vietnamese-citizens-in-south-africa-to-be-mindful-of-security-amid-unrest.html,"July, 16/2021 - 10:58"
/politics-laws/994271/access-to-vaccines-key-to-economic-recovery-president-phuc-tells-apec.html,"July, 16/2021 - 22:49"
/politics-laws/993734/president-phuc-holds-phone-talks-with-indonesian-counterpart.html,"July, 16/2021 - 09:03"
/politics-laws/993732/viet-nam-pledges-to-facilitate-rok-businesses-investment-party-chief.html,"July, 16/2021 - 09:02"
/politics-laws/993670/na-chairman-runs-nationwide-teleconference-on-election-work.html,"July, 16/2021 - 09:02"
/politics-laws/993593/unhrc-adopts-viet-nam-proposed-resolution-on-climate-change-human-rights.html,"July, 15/2021 - 12:32"
/politics-laws/995481/philippines-an-important-trustworthy-partner-of-viet-nam-prime-minister.html,"July, 20/2021 - 10:15"
